Date,Herzfrequenz,Systole,Diastole,Kommentare
"2020-07-23 22:36:41",57,116,60,
"2020-07-23 08:29:50",71,108,62,
"2020-07-22 22:50:51",67,110,59,
"2020-07-22 08:16:36",75,108,70,
"2020-07-21 23:40:52",64,109,60,
"2020-07-21 08:33:55",74,112,69,
"2020-07-20 08:13:07",59,111,69,
"2020-07-19 22:31:49",60,121,70,
"2020-07-19 10:59:29",59,114,63,
"2020-07-18 23:02:15",54,145,85,
"2020-07-18 09:39:59",56,118,56,
"2020-07-17 23:24:06",86,122,70,
"2020-07-17 08:14:36",63,115,65,
"2020-07-16 22:12:58",62,115,59,
"2020-07-16 08:13:57",65,117,66,
"2020-07-15 22:32:09",58,112,62,
"2020-07-15 08:06:52",59,118,71,
"2020-07-14 22:11:52",59,109,64,
"2020-07-14 13:22:20",64,128,73,
